廉颇,勇士之魂,爆裂冲撞,熔岩重击,天崩地裂,被动：廉颇释放技能过程中会处于霸体状态。进入战斗后廉颇的战意会逐渐提升，战意越高减伤越多，最多获得20%所受到的伤害。当战意充盈时，廉颇提升自身30%攻击速度。脱战后战意逐渐降低。,廉颇向指定方向发起冲锋，对敌人造成150/170/190/210/230/250（+65%物理攻击）点物理伤害并将其击飞0.5秒。 被动：第三次普攻为直拳重击，对敌人造成额外200/260/320/380/440/500（+15%物理加成）点物理伤害。,廉颇迸发狂暴力量并通过臂甲传入地面，获得350点护盾，1秒后地面会崩裂，对区域内的敌人造成100/125/150/175/200/225（+100%物理加成）（+4%最大生命加成）物理伤害，距离中心越近伤害越高，最高提升100%。技能范围内有敌人时会重置爆裂冲撞的冷却时间，并减少范围内敌人30%移动速度，非英雄单位会被拉向范围中心。技能释放期间可以使用其他技能。,廉颇跳向指定区域连续锤击地面三次，第一次：造成60/90/120（+60%物理加成）（+3%最大生命）点物理伤害和30%减速。第二次：造成90（+90%物理加成）（+4%最大生命）点物理伤害和50%减速。第三次：造成120（+150%物理加成）（+6%最大生命）点物理伤害和1秒击飞。
明世隐,大吉大利,临卦·无忧,师卦·飞翼,泰卦·长生,每过5秒，下次普攻造成300(+ 15%法术攻击)法术伤害，并从敌人身上激发血球为法器连接，队友回复225（+30*英雄等级）（+0.225Ap）点生命，为自己回复150（+20*英雄等级）（+0.15Ap）点生命。若命中的敌人非英雄，则回复量较低，分别为150(+15%法术攻击)点和100(+10%法术攻击)点。,投掷法器连接目标，对不同目标产生不同效果。连接队友:增加其15(+6%法术攻击)点物理攻击、24(+10%法术攻击)点法术攻击、5%移速和15%攻速。连接敌人:减少其50(+9%法术攻击)点物理攻击、75(+13%法术攻击)点法术攻击，每0.5秒造成30(+30%法术攻击)法术伤害，并对魂链触碰的敌人造成额外100%伤害。 提升自身:强化自身2/3该数值的物理攻击和法术攻击(不随断链移除)并提升15%移速。 属性效果可由[师卦飞翼)切换为防御状态效果。被魂链连接的敌人将暴露视野。加入辅助追踪队友功能，可以更容易挂上队友。,切换法器状态以改变[临卦.无忧)对目标的连接效果。攻击改变状态:使连接的队友增加30(+6%法术攻击)、45(+10%法术攻击)点法术攻击 ，敌人减少其50(+9%法术攻击)点物理攻击及75(+13%法术攻击)点法术攻击，并强化自身2/3该数值的物理及法术攻击，且为队友目标增加攻速。 防御改变状态:增加/减少连接的队友/敌人20%（+2%/Lv）物理防御及法术防御，并强化自身2/3该数值的物理防御及法术防御。,在0.75秒吟唱后，对法器连接的敌人造成1000(+150%法术攻击)真实伤害，如果是队友会回复等量生命，同时自身损失等量生命。 被动:明世隐脱战后每秒回复5%已损生命。 损失值不会超过当前生命，损失生命会在10秒内恢复。
公孙离,晚云落,岑中归月,霜叶舞,孤鹜断霞,普攻会对目标叠加枫之印记，叠满四层后对周围敌人造成100(+30%物理攻击)法术伤害，并对周围单位叠加一层印记。释放技能或收回纸伞的下次普攻后会追加一次普攻造成(30%物理攻击)物理伤害。 在释放技能后再次使用技能回归到纸伞的位置。手中没有纸伞时获得50点移速加成并缩短10%基础攻击间隔。,阿离向指定方向瞬步，并将纸伞留在原地（如果纸伞在阿离手中）。,阿离旋转起操控纸伞飞旋（如果纸伞在阿离手中），击落飞行物对范围内敌人造成两段打击每段造成180/240/300/360/420/480（+65%物理加成）点法术伤害。,阿离击退前方的敌人，造成250/375/500（+80%物理加成）点法术伤害，并将纸伞向指定方向掷出（如果纸伞在阿离手中）。
杨玉环,惊鸿调,霓裳曲,胡旋乐,长恨歌,杨玉环切换曲调，在释放技能时产生不同效果。破阵：释放技能对800范围内敌方单位造成100(+20%法术攻击)法术伤害。清平：释放技能对自身造成52(+11%法术攻击)(+0.8%最大生命)点生命回复，对800范围内友方单位造成50%效果。,杨玉环拨动琴弦，最多产生3道音波，音波在向外飞出后会缓慢追击不同的敌人并造成285/321/357/393/429/465（+30%法术加成）点法术伤害并减少目标50%移动速度，持续1秒；释放技能后，杨玉环的下一次普通攻击将会额外造成190/214/238/262/286/310（+20%法术加成）点法术伤害，并减少所有技能1秒冷却时间。音波命中小兵和野怪时额外造成315(+45/Lv)(+30%法术加成)点法术伤害。,杨玉环拨动琴弦短时间提升自身50%移速(受时间衰减)，1.5秒后对位于杨玉环600~800范围内的敌人造成250/300/350/400/450/500（+40%法术加成）点法术伤害与晕眩效果持续0.75秒。,杨玉环跃向空中演奏(期间无法被选中并解除所有控制效果)，演奏后治疗自身750(+100%法术攻击)(+5%最大生命)点生命，对500范围内的友方单位造成50%治疗效果，并对范围内敌人造成500(+75%法术攻击)法术伤害。
裴擒虎,寸劲,冲拳式,气守式,虎啸风生,被动：在人形态下每次普攻将发出气功波，攻击目标时造成额外16点法术伤害（伤害随英雄等级提升），额外造成的法术伤害可以在3秒内进行叠加，至多提升到基础值的3倍。普攻每次命中恢复5点能量,朝指定方向发出气功，对一条路径上的敌人造成250/300/350/400/450/500（+115%额外物理加成）点法术伤害和目标当前生命值8%的额外法术伤害并减少目标50%移动速度，持续1.5秒。该技能命中任意单位时恢复20点能量；虎形态：对一名敌人发起撕咬造成300/360/420/480/540/600（+130%额外物理加成）点物理伤害，目标每损失1%生命值额外造成1%伤害，如果该次攻击直接击败敌人，恢复20点能量。,施展念气环绕自身，施法瞬间对附近敌人造成100/150/200/250/300/350（+70%额外物理加成）点法术伤害，并形成护盾包裹自身持续5秒，可吸收400（+150%额外物理加成）伤害。护盾存在期间每0.5秒对附近敌人造成20/30/40/50/60/70（+14%额外物理加成）点法术伤害并提升裴擒虎30/34/38/42/46/50%攻击速度。虎形态：裴擒虎朝指定方向冲刺，对沿途的敌人造成160/190/220/250/280/310（+70%额外物理加成）点物理伤害，如果在冲刺过程中触碰了地形边缘，将可以在1秒内通过摇杆控制方向再次进行一次折返跳跃，并对触碰的敌人造成320/385/450/515/580/645（+140%额外物理加成）点物理伤害。如果折返跳的过程中至少命中了一名敌人，恢复20点能量并缩短该技能50%的冷却时间。,裴擒虎切换到虎形态，1秒内增加30%移动速度并强化下两次攻击，持续7秒，第一击扑向指定目标，造成20/110/200/290（+100%物理加成）点物理伤害和1秒90%减速。第二击对面前的敌人造成20（+100%物理加成）点法术伤害；虎形态：裴擒虎切换到人形态，1秒内增加30%移动速度并强化下一次普攻，发出强力元气弹，对目标以及其身后的扇形区域敌人造成100/300/500/700（+100%物理加成）点法术伤害
弈星,气合,飞攻,镇神,万变之局,被动：弈星的普攻会造成法术伤害，任意技能命中敌人都会去叠加1层去气印记，4层气后，敌人 脚下会生成一颗棋子， 造成100(+ 10%法术攻击)法术伤害，并为弈星的本次棋局永久累积1 颗棋子数，击败/助攻/每60秒都会 获得5颗;每颗会累积1点法术攻击。印记触发产生的棋子 均会被棋阵中心吸引，对连线上敌人造成170(+ 11 %法术攻击)法术伤害。 受到致命伤害会遁入虚无，在脚下产生一颗棋子，免疫所有伤害并提升30%移速，持续1秒 这个效果有150秒冷却； 去气棋子短时间多次命中敌人，后续伤害会衰减至50% ,指定位置释放棋子，落子时获得棋子附近的视野，造成120(+11%法术攻击)法术伤害，并减少0.5秒[ 镇神)冷却时间， 棋子存在12秒;若棋子位于棋阵内，会被中心吸引，对连线上敌人造成180(+30%法术攻 击)法术伤害和50%减速持续1秒;命中后获得强化普攻，造成120(+60%物理攻击)(+ 18%  法术攻击)法术伤害; 当棋子数达到50/110/181时，可以点击额外技能进阶强化普攻，同时获得5秒爆发移动速度 加成，进阶后强普依次获得散射/攻击伤害增加17%/攻击伤害增加34%; 棋子每6秒存储一颗，上限两颗; 连线伤害0 .5秒内连续命中敌人，伤害衰减至50%;强普 法球效果衰减至30%;,对指定区域造成175(+18%法术攻击)法术伤害后扩散形成棋阵，棋阵会存在10秒，任意敌方英雄/弈星穿过棋阵边缘时，会被去气/50%衰减加速持续1秒，分别至多触发次; 距离棋阵过远时，棋阵会消散 释放后激活技能第二段， 短暂延迟后使目标方向敌人被吸向棋阵中心一 段距离，并造成175(+18%法术攻击)法术伤害; 该技能对非英雄单位伤害提高180%。,弈星以自身位置为棋盘一角，画出一个虚空棋盘，1.5秒后棋盘完全成型，对范围内敌人击飞0.5秒。棋盘持续4秒，在此期间棋盘内的敌人无法离开棋盘，棋盘持续对敌方英雄叠加3次去气印记，同时会暴露视野。如果成功困住敌方英雄，弈星存储一次【飞攻】。 棋盘面积越小，冷却越短，最多缩减25%，棋盘成型期间，弈星获得30%~70%衰减移速。
狂铁,无畏战车,碎裂之刃,强袭风暴,力场压制,被动：狂铁的武器在击中敌人时会激发电流，进而为武器充能。普攻每命中一个英雄/非英雄回复7点/5点能量，技能命中敌方单位回复10点能量，普攻命中敌方单位回复7点能量，不再区分单位类型，最多可储存90点能量。充能≥30点时，技能会获得不同的强化效果，每次普攻附带50点物理伤害，并在命中敌人时回复70点自身生命值。强化技能使用时会消耗30点能量，且不会因击中敌人而获取能量。脱离战斗后，能量不再随时间衰减。,狂铁奋力向前横挥武器两次，每次造成80/110/140/170/200/230(+100%物理加成)点物理伤害。每命中一个敌人回复自身已损生命值2%+30/36/42/48/54/60（+16%物理加成）点生命值。充能强化：伤害提升至120/165/210/255/300/345（+150%物理加成）点物理伤害，生命回复提升至已损生命值4%+60/72/84/96/108/120（+32%物理加成）点生命值。,狂铁向前冲锋，冲锋路径上的敌人受到150/180/210/240/270/300(+75%物理加成)点物理伤害。冲锋结束后，狂铁的下次普攻得到强化，造成200/240/280/320/360/400（+100%物理加成）点物理伤害和50%减速效果持续2秒。充能强化：在释放强化普攻时若能量＞30，强化普攻伤害提升至300/360/420/480/540/600（+150%物理加成）点物理伤害，对受击者造成1秒击飞和晕眩，以及之后1秒50%减速。且在释放第一次强化普攻时消耗30点能量。,将武器砸向地面，造成250/375/500（+100%物理加成）点物理伤害和1.5秒50%减速。同时生成1000/1500/2000点护盾，持续六秒。充能强化：伤害提升至325/485/645（+140%物理加成）点物理伤害，护盾值提升至1500/2250/3000。同时会制造一道电弧，对敌方单位造成70（+70%物理加成）点物理伤害，并从每个英雄窃取20/35/50点移速赋予狂铁。电弧的范围会随三技能等级逐渐扩大。
米莱狄,机械仆从,空中力量,强制入侵,浩劫磁场,"被动：直接被米莱狄或者机械仆从击杀的单位（除敌方机械仆从以外），会在其附近召唤1个机械仆从（至多存活8秒），短暂时间后冲向附近的敌人进行法术攻击。（机械仆从的攻击力,生命值和移动速度受到米莱狄的法术强度加成，机械仆从至多存在5个，超过上限时自动引爆更早的机械仆从）。机械仆从如果没有被击杀，生存期结束后将会发生爆炸对附近敌人造成200（+30%法术加成）点法术伤害。机械仆从攻击力：150（+25%法术加成）,机械仆从生命值：550（+110%法术加成）,机械仆从移动速度：450（+10%法术加成）。",米莱狄指挥飞行器朝指定方向飞出，对沿路的敌人进行扫射造成70/80/90/100/110/120（+7%法术加成）点法术伤害。飞行器连续攻击2次以后，下一次攻击将会对目标发射一枚导弹，造成140（+14%法术加成）点法术伤害。飞行器在飞行的过程中，米莱狄可以发出指令让飞行器进行一次分裂，变为2个飞行器进行攻击，分裂的飞行器造成80/92/104/116/128/140（+6%法术加成）点法术伤害如果敌人同时受到2个飞行器的攻击，将会被减速50%持续1.5秒。,米莱狄标记一个位置，短暂时间后召唤两个机械仆从，落地时对附近敌人造成100/120/140/160/180/200（+20%法术加成）点法术伤害，并在1秒后激活，自动攻击附近的敌方单位，机械仆从存活至多8秒。每16/15.2/14.4/13.6/12.8/12秒储备一个机械仆从，至多储备3个。,米莱狄朝指定目标发出一颗信号装置，标记并晕眩敌人持续0.75秒（可对建筑释放但晕眩无效），被标记目标受到磁场干扰每0.5秒造成80/120/160（+4%法术加成）点法术伤害，并减少30%移动速度持续3秒，干扰效果结束时引发磁场爆炸攻击附近的敌人，造成基于干扰期间来自米莱狄和她的机械部队对其造成的总伤害25%/37.5%/50%/62.5%法术伤害。如果磁场爆炸直接击败了被标记的英雄或者在标记期间死亡，将在其附近召唤3个机械仆从。当机械仆从发现标记的目标时，将会立即冲向该目标发起攻击。大招开启时，范围内的友方机械仆从增加100%的攻击速度和100%的移动速度。
元歌,秘术·操控,秘术·影,秘术·纸雏鸾,秘术·十字闪,秘术·散,傀儡将继承元歌全部装备（除复生、血怒、暗幕、法力护盾）效果以及部分BUFF效果，傀儡普通攻击可造成0~195（+100%物理加成）点物理伤害，傀儡的基础伤害会随1技能等级而成长； 其获得的金币经验与部分BUFF效果都会共享给元歌，傀儡被摧毁会禁止元歌召唤傀儡，持续20秒；同时会暴露元歌位置以及造成晕眩，持续两秒；每当傀儡回归本体，本体都会清除控制效果并获得40%移动速度的增加，持续1秒和200（+62%物理加成）点护盾,元歌将傀儡向指定方向掷出，对路径上敌人造成300/360/420/480（+125%额外物理加成）点物理伤害和击飞效果，并开始操控傀儡，傀儡会模仿一个敌方英雄直到攻击或者受到攻击；傀儡位于元歌900范围内时元歌会进行自动攻击；傀儡超过元歌2500范围5秒后会自动销毁；傀儡一旦死亡或销毁控制权将立即转回元歌本体；第二形态：立即收回傀儡，并对路径上的敌人造成300/360/420/480（+125%额外物理加成）点物理伤害和击飞效果；,元歌在短暂延迟后向指定方向掷出4枚暗器，对路径上敌人造成420/530/640/750（+210%额外物理加成）物理伤害，暗器可以连续命中多枚，但伤害将折减70%；第二形态：将傀儡与本体位置对换，如果傀儡和本体距离大于900，则傀儡只会移动到距离本体900的位置，并对路径上的敌人造成300/360/420/480（+125%额外物理加成）点物理伤害；束缚状态下该技能会将本体拉至傀儡身前并将控制权转交本体；,元歌甩出丝线向后拉扯，每根丝线对命中目标造成250/295/340/385（+100%额外物理加成）点物理伤害，被两条丝线命中的单位将会受到额外已损生命16%的物理伤害和50%减速效果持续2秒；第二形态：傀儡对附近敌人造成300/360/420/480（+125%额外物理加成）点物理伤害并减少其200/300/400/500点移动速度，持续两秒，释放第一段的3秒内能够开启第二段，傀儡进入束缚状态，在短暂延迟后会持续眩晕范围内的敌方单位并每段造成100（+50%额外物理加成）点法术伤害,元歌立即消失，并在短暂延迟后出现在范围内的另一位置；第二形态：傀儡向指定方向冲锋，对路径上的敌人造成100%物理加成的物理伤害；在束缚状态下该技能会立即将控制权转向本体；
孙策,怒潮,劈风斩浪,惊涛骇浪,长帆破浪,被动：每过6秒，孙策的下一次普攻附带额外110(+60%物理加成)点物理伤害，并回复自身55（+30%物理加成）（+3%已损生命）点生命值;被动：每次受到物理伤害或技能命中目标时，孙策获得1层不屈效果：护甲值提升20点，持续6秒，可叠加10层,孙策向前冲锋，技能命中时获得1层不屈效果，对路径上敌人造成110/132/154/176/198/220（+45%物理加成）点物理伤害。冲锋到终点后造成一次范围220/264/308/352/396/440（+90%物理加成）点物理伤害，短暂延迟后这个范围喷发波涛，再次造成相同伤害，并对命中敌人造成1秒击飞效果,连续三次向前踏步并劈砍，技能命中时获得1层不屈效果，每次造成的物理伤害逐渐提高25%，基础造成180/242/304/366/428/490（+70%物理加成）点物理伤害，对野怪额外造成40%伤害。每次命中敌人造成30%减速，减速效果可叠加。使用技能会重置普通攻击冷却时间。技能命中时获得1层不屈效果。,12秒内驾船冲锋，速度逐渐提升，期间霸体。撞到阻挡物、敌方英雄、航行时间结束时船都会爆炸造成250(+80%物理攻击)物理伤害和击飞，击飞时间1~1 .5秒(与已航行时间成正比)。并减少命中目标15%物理防御，持续4秒。航行过程中可弃船朝选定方向跳跃，释放后船继续航行固定距离。驾船期间附近个队友可以通过 点击按键上船，上船期间被控制会自动下船，队友也可使用位移技能主动下船，孙策下船时队友也会一起下船。船爆炸瞬间若命中敌人会获得5层不屈效果。
司马懿,静默之语,幽影之咬,荒芜之域,死神降临,被动：司马懿能够获得2000范围内施法者的视野且在该范围内释放技能会为司马懿回复5点能量；在击杀英雄或野怪时会回复10点能量。司马懿基础拥有80点能量（每级提升3点能量上限），同时每次击杀或者助攻能够提升10点能量上限，最高可以提升到200点能量上限；释放技能会激活幽影之牙；幽影之牙：司马懿增加30点移动速度并将手持巨大的镰刀进行普通攻击，持续4秒，镰刀每击造成250（+40%法术加成）点法术伤害，召唤镰刀后的首次攻击可位移到目标身后造成400（+65%法术加成）点法术伤害,司马懿释放无法被选中的灵体，持续两面，控制灵体时本体免疫控制；灵体穿过的敌人时造成100/120/140/160/180/200（+20%法术加成）点法术伤害，释放普通攻击或效果结束后本体将会移动至灵体的位置，并对路径上的敌人造成100/120/140/160/180/200（+20%法术加成）点法术伤害和50%减速，持续1秒，对野怪和小兵额外造成200(+20/Lv)(+0.2Ap)点法术伤害。,司马懿释放灵力，压制周围的区域造成300/340/380/420/460/500（+30%法术加成）点法术伤害与1秒沉默，如果司马懿2秒后还在被压制的区域中则会获得25/30/35/40/45/50点的能量；被动：司马懿吸收部分的法术伤害时，将其中50%在2秒内转化为生命值,司马懿化身死神，在短暂的蓄力后向指定地点冲击，造成700/875/1050（100%法术加成）点法术伤害，并且会对冲击路径触碰的敌人造成50%伤害
盾山,天地化盾,一夫当关,万夫莫开,不动如山,困守成规,被动：盾山进入防御状态后可抵挡大量子弹技能同时获得30%免伤效果。普攻附带(4%最大生命)物理伤害。 石盾初始拥有450点耐久度，并会受到盾山18%最大生命值的加成，盾山每次举起石盾抵挡 子弹技能的伤害1比1消耗石盾耐久度，盾山每次升级石盾耐久度提升200点。,盾山降低50%移速横盾于身前进入防御状态，触碰石盾的敌人被击退并对其造成250/300/350/400/450/500(+50%物理加成）点物理伤害。,盾山向前冲锋击退身前的野怪小兵并造成550/620/690/760/830/900(+100%物理加成）点物理伤害，并扔回第一下撞到的敌方英雄，回复5点能量，敌方英雄落地会对周围造成1秒晕眩和550（+100%物理加成）点物理伤害。可在技能不动如山持续期间使用，使用将立即收回张开的巨盾。,盾山掀开身边的敌方单位造成300/400/500（+60%物理加成）点物理伤害，然后张开巨盾砸向地面造成300（+60%物理加成）点物理伤害和击退，被击退单位减缓移动速度50%持续1秒，后续的能量流动持续推开面前的敌人，造成的伤害将衰减50%，使用该技能时盾山回复5点能量。三技能会强化盾山的盾牌，使得大招期间盾的耐久度变为原来的150%,盾山和塔合二为一，期间为防御塔提供600点物理及法术防御，每秒回复1点能量并修复自身和防御塔100点生命持续7秒。
伽罗,破魔之箭,渡灵之箭,静默之箭,纯净之域,被动：伽罗的普攻与技能伤害将会优先对目标的护盾效果造成一次等额的伤害,伽罗展开长弓，攻击间隔增长25%并提升150点射程；在此形态下，伽罗的每一次射击都会消耗50点法力值，并对目标每0.5秒额外造成45/47/49/51/53/55（+5%物理加成）点法术伤害；伽罗关闭长弓：提升20点移动速度，恢复攻击速度并恢复射程；在此状态下，伽罗的每一次射击都会回复5（+1%物理加成）点法力值，攻击英雄回复量额外提升200%。,伽罗以长弓为施法媒介，张开法阵，并在一定的延迟后向指定方向射出破魔之箭，对路径上的敌人造成250/280/310/340/370/400（+40%物理加成）点法术伤害与0.5秒沉默及50%减速持续1秒，箭矢穿过区域在1秒后会爆炸对范围内敌人造成500/560/620/680/740/800（+80%物理加成）点法术伤害,伽罗在身边张开法阵持续8秒并可手动关闭，提升范围内自己30%的暴击率和30%的攻击速度；法阵在张开和关闭的瞬间会对范围内敌军造成250/350/450(+75%物理加成)点法术伤害，关闭时会对尚在法阵中的友军产生一个持续3秒的20%暴击率与20%移速增加的效果；被动：伽罗的暴击会对目标造成 30%减速持续0.5秒，1秒内再次触发这个效果减速效果提升为50%
沈梦溪,暴躁节奏,猫咪炸弹,正常操作,综合爆款,被动：沈梦溪的技能命中敌人后会将其点燃，被点燃的敌人会暴露视野，持续3秒；使用普通攻击命中被点燃的敌人会触发爆炸对附近的敌人造成100（+16%法术加成）点法术伤害。沈梦溪死亡后复活时回复3颗炸弹。,沈梦溪蓄力状态下每0.75秒朝目标位置投掷一枚猫咪炸弹，爆炸后对范围内的敌人造成340/390/440/490/540/590 (+40%法术加成）点法术伤害。沈梦溪一共拥有10颗炸弹；每次投掷消耗1颗，最多可以连续投掷5颗；炸弹每5秒获得一枚，受冷却影响；自燃状态：猫咪炸弹将锁定敌人，命中后会将敌人击退造成360/408/456/504/552/600 (+40%法术加成）点法术伤害，同时炸弹会继续朝前弹落一段距离地后再次造成405/459/513/567/621/675 (+45%法术加成）点法术伤害,沈梦溪失误点燃了自己并消耗一颗炸弹，期间移动速度增加100%并持续衰减，点燃炸弹，5秒内可主动引爆朝指定方向位移，如果没有主动引爆在5秒后火焰会熄灭并返还一颗炸弹，同时会将路径上的敌人炸晕并造成500/560/620/680/740/800（+65%法术加成）点法术伤害；自燃期间可以手动熄灭身上的火焰并返还一颗炸弹，冷却时间根据已燃烧的时间增加；在沈梦溪被自燃期间猫咪炸弹的投掷方式和冷却时间将会发生变化。,沈梦溪蓄力后朝目标位置投掷一枚EX型混合炸弹，爆炸后对范围内的敌人造成500/700/900（+50%法术加成）点法术伤害，并在之后的2秒时间内累计造成250/350/450（+25%法术加成）点法术伤害，同时分裂出3枚猫咪炸弹朝四周散落，落地后爆炸对附近的敌人造成250/350/450（+25%法术加成）点法术伤害。炸弹投掷的最远距离和蓄力时间成正比；蓄力达2秒后射程达到上限。EX型混合炸弹每50秒会获得一枚，最多可以储存2枚，获取速度受冷却缩减影响。
李信,灰暗利刃,急速突进,强力斩击,力量觉醒·光,力量觉醒·暗,被动：李信逐渐解放力量，普攻与2技能命中英雄能够获得额外10点经验值；狂暴利刃：李信普通攻击会造成两段伤害，第一段造成100%物理加成点物理伤害，第二段造成65～205点物理伤害（随人物等级成长），李信在该形态下会增加30点移速；辉耀利刃：李信释放技能后的下一次普通攻击距离提升并额外造成50%伤害，同时李信的强化普攻或者技能命中敌人将会减少所有技能1秒冷却时间。,向指定方向进行突进；无畏冲锋：李信积蓄力量发起冲锋，移除自身减速效果、增加100点移动速度和每0.5秒50点生命回复，蓄力冲锋期间免疫控制蓄力超过1秒，会提升40%攻速持续3秒，同时蓄力增加的移速会在2秒内缓慢结束。李信每次普攻命中敌人都可以减少【无畏冲锋】1秒的冷却时间；希望之跃：李信进行蓄力，在蓄力过程中获得免控和25%免伤效果，蓄力后向指定方向突进并造成50(+50%物理攻击)~150(+150%物理攻击)物理伤害并附加目标12%已损生命的物理伤害，蓄力1秒后伤害达到上限，蓄力打断返还40%的冷却。在突进时仍会有免控效果。,李信向指定方向斩出剑气，对路径上敌人造成300/350/400/450/500/550（+100%物理加成）点物理伤害和减速持续2秒；残暴撕裂：李信向指定方向斩出剑气，对路径上的敌人造成280/330/380/430（+80%物理加成）点物理伤害和50%减速持续2秒，被剑气命中的敌人还会被撕裂，使得李信的普通攻击会对其造成额外90/108/126/144点物理伤害，当剑气命中敌方英雄时，李信该形态下的普通攻击还可以回复55/65/75/85点生命值；迅烈之华：李信持续向指定方向斩出剑气，对路径上敌人造成100/120/140/160（+150%物理加成）点物理伤害，如果剑气命中敌人，则李信回复30/35/40/45/50/55（+15%物理加成）点生命值,李信学习大招的瞬间解放魔道家族的力量，改变战斗形态至统御；暗影爆发：李信释放力量，短暂延迟后以释放点为中心对范围内敌人造成600/900/1200（+120%物理加成）点物理伤害和0.75秒击飞；光翼连斩：李信积蓄力量，结束后向指定方向斩出三道剑气，对路径上敌人造成150/200/250（+75%物理加成），最大为450/600/750（+225%物理加成）点物理伤害，当多道剑气命中同个目标时，从第二道剑气开始将只造成30%的伤害；蓄力1秒后伤害达到上限，蓄力打断会返还40%的冷却时间。在释放剑气时仍会有免控效果。,李信学习大招的瞬间解放黑暗复仇的力量，改变战斗形态至狂暴；力量掌控：李信压制身体内狂暴的力量，转化为统御形态；力量解放：李信解放身体内狂暴的力量，转化为狂暴形态；变身过程无法被技能打断。
上官婉儿,笔阵,篆法·疾势,飞白·藏锋,章草·横鳞,被动：上官婉儿每第三次普攻将进行强化攻击，会对一条路径上的敌人额外造成300（+40%法术加成）点法术伤害。上官婉儿各个技能的笔墨相互触碰的时候会迸发笔力，对附近敌人造成300（+40%法术加成）点法术伤害（1秒内连续命中伤害衰减50%），上官婉儿触碰笔力恢复150（+20%法术加成）点生命值并激活强化普攻,上官婉儿朝指定方向挥出一记力道苍劲的笔墨，笔墨将会迅速减缓飞行速度并对触碰的敌人造成270/310/350/390/430/470(+35%法术加成）点法术伤害，当达到最远距离时，笔墨将会爆炸散开，对附近敌人造成270/310/350/390/430/470(+35%法术加成）点法术伤害,上官婉儿选择一个点，然后以自己的位置为终点进行书写，落笔的一瞬间对触碰的敌人造成150/180/210/240/270/300(+20%法术加成）点法术伤害，书写过程中将会对触碰敌人造成300/360/420/480/540/600(+40%法术加成）点法术伤害和50%减速持续2秒（每12秒储存一次笔势，最多可储备2次),上官婉儿与笔墨共舞对一条路径上的敌人造成300/385/470(+24%法术加成）点法术伤害。如果在冲刺过程中命中了敌人或者其它主动技能的笔势，则可以在3秒内再次通过移动指令发出冲刺（至多可冲刺5次，停止期间可以攻击和施法，中断时根据释放次数返还20%到80%CD）。如果上官婉儿完成了3/4/5次冲刺，会跳跃至高空（期间不可被选中），不断朝附近敌人发出攻击造成600/800/1000(+45%法术加成）点法术伤害（累计4/7/10次攻击，对同一单位伤害衰减到25%）
嫦娥,月盈,月辰,月璇,月芒,被动：嫦娥受到月光的守护，以自身法力值产生的护盾抵挡60%伤害，每1点法力抵挡2点伤害；嫦娥的法力值越高造成的伤害越高（最高满蓝提升100%伤害），每1点法术强度会提升嫦娥1.5点最大法力值,嫦娥向指定方向释放能量，对命中的第一个目标造成150/180/210/240/270/300（+25%法术加成）点法术伤害并标记敌方3秒同时造成1秒定身效果，定身时长随法术强度影响，每100点法术强度额外造成0.15秒定身，最高定身2.5秒；命中后增加嫦娥30%移速持续3秒。嫦娥的普攻与技能伤害能够引爆标记，对范围内的敌人造成150/180/210/240/270/300（+25%法术加成）点法术伤害和50%减速持续1秒；被动：嫦娥可以非常轻松的引动游离在身边的能量 ，让普通攻击变为法术伤害造成80点法术伤害，每过5秒的第一次普攻射程提升并会造成额外80（+10%法术加成）点法术伤害并回复自身最大蓝量5%,短暂的施法后，嫦娥在身边和指定位置召唤法力旋涡持续4秒，每次消耗范围内敌人15点法力值并回复自身0.5～1%最大法力值（随技能等级成长），造成30/37/44/51/58/65（+7%法术加成）点法术伤害，消耗法力效果对小兵额外提升50%，攻击小兵回复法力效果额外提升20%；敌方英雄法力值不足时，不足消耗的法力值将转成对其造成同等的法术伤害。,嫦娥解放狂暴的魔道力量提升自身30%移速，疯狂倾泻自身的法力值并随机向周围发射法力弹幕，每颗弹幕消耗48点法力，升级提升每秒弹幕数量（8/12/16）对命中的敌人造成100点法术伤害
